Location Name,Identifier,Road Section,State,Post Code,Latitude,Longitude,Electorate,Local Government Area,Regional Development Authority,Remoteness Area,Updated
Bexhill,NSW-0131,N/A,New South Wales,2480,-28.76246491,153.3477282,Richmond,Lismore,Northern Rivers,Inner Regional Australia,25 February 2016
Biddenluke,NSW-0132,N/A,New South Wales,2632,-36.81295632,149.2886983,Eden-Monaro,Bombala,Southern Inland,Outer Regional Australia,25 February 2016
Big Hill,NSW-0133,N/A,New South Wales,2579,-34.55364884,149.9783763,Hume,Upper Lachlan Shire,Southern Inland,Inner Regional Australia,25 February 2016
Big Jacks Creek,NSW-0134,N/A,New South Wales,2339,-31.7599634,150.6186676,New England,Liverpool Plains,Northern Inland,Outer Regional Australia,25 February 2016
Big Springs,NSW-0135,N/A,New South Wales,2650,-35.32280743,147.4190821,Riverina,Wagga Wagga,Riverina,Inner Regional Australia,25 February 2016
Bigga,NSW-0136,N/A,New South Wales,2583,-34.08491388,149.1520888,Hume,Upper Lachlan Shire,Southern Inland,Outer Regional Australia,25 February 2016
Bigga Road,NSW-0137,Between Bigga and Crookwell,New South Wales,2583,-34.24875842,149.3389684,Hume,Upper Lachlan Shire,Southern Inland,Outer Regional Australia,25 February 2016
Bigga Road,NSW-0138,Between Crookwell and Tuena,New South Wales,2583,-34.28125484,149.3447516,Hume,Upper Lachlan Shire,Southern Inland,Outer Regional Australia,25 February 2016
Bignells Road,NSW-0139,N/A,New South Wales,2422,-31.97701782,151.6821974,Lyne,Gloucester,Hunter,Outer Regional Australia,25 February 2016
Bilambil,NSW-0140,N/A,New South Wales,2486,-28.2250012,153.468407,Richmond,Tweed,Northern Rivers,Major Cities of Australia,25 February 2016
Billeroy,NSW-0141,N/A,New South Wales,2829,-30.64936294,148.4724413,Parkes,Coonamble,Orana,Remote Australia,25 February 2016
Billimaria,NSW-0142,N/A,New South Wales,2804,-33.67980251,148.6165204,Hume,Cowra,Central West,Outer Regional Australia,25 February 2016
Bilpin,NSW-0143,N/A,New South Wales,2758,-33.49788021,150.5226091,Macquarie,Hawkesbury,Sydney,Inner Regional Australia,25 February 2016
Binalong,NSW-0144,N/A,New South Wales,2584,-34.67408808,148.6299161,Hume,Yass Valley,Southern Inland,Inner Regional Australia,25 February 2016
Binda,NSW-0145,N/A,New South Wales,2583,-34.32965652,149.3654167,Hume,Upper Lachlan Shire,Southern Inland,Outer Regional Australia,25 February 2016
Bingara,NSW-0146,N/A,New South Wales,2404,-29.86718387,150.571507,Parkes,Gwydir,Northern Inland,Outer Regional Australia,25 February 2016
Bingeebeebra Creek,NSW-0147,N/A,New South Wales,2469,-28.81452528,152.7879388,Page,Kyogle,Northern Rivers,Inner Regional Australia,25 February 2016
Bingie,NSW-0148,N/A,New South Wales,2537,-36.00982166,150.1486192,Eden-Monaro,Eurobodalla,South Coast,Outer Regional Australia,25 February 2016
Bingleburra,NSW-0149,N/A,New South Wales,2311,-32.36302438,151.6201338,Paterson,Dungog,Hunter,Inner Regional Australia,25 February 2016
Binjura,NSW-0150,N/A,New South Wales,2630,-36.17556245,149.1079035,Eden-Monaro,Cooma-Monaro,Southern Inland,Inner Regional Australia,25 February 2016
Binna Burra,NSW-0151,N/A,New South Wales,2479,-28.71219455,153.4974754,Richmond,Byron,Northern Rivers,Inner Regional Australia,25 February 2016
Binya,NSW-0152,N/A,New South Wales,2665,-34.22835923,146.3450036,Riverina,Narrandera,Riverina,Outer Regional Australia,25 February 2016
Birriwa,NSW-0153,N/A,New South Wales,2844,-32.12180175,149.4658815,Parkes,Mid-Western Regional,Orana,Outer Regional Australia,25 February 2016
Bishops Bridge,NSW-0154,N/A,New South Wales,2326,-32.74185702,151.4767873,Hunter,Maitland,Hunter,Inner Regional Australia,25 February 2016
Black Hill,NSW-0155,N/A,New South Wales,2322,-32.83761583,151.6154625,Hunter,Cessnock,Hunter,Major Cities of Australia,25 February 2016
Black Hollow,NSW-0156,N/A,New South Wales,2828,-31.11091144,148.8596144,Parkes,Coonamble,Orana,Remote Australia,25 February 2016
Black Rocks,NSW-0157,N/A,New South Wales,2472,-29.25049897,153.3659638,Page,Richmond Valley,Northern Rivers,Inner Regional Australia,25 February 2016
Black Springs,NSW-0158,N/A,New South Wales,2787,-33.84779051,149.7422671,Calare,Oberon,Central West,Inner Regional Australia,25 February 2016
Blackhead,NSW-0159,N/A,New South Wales,2430,-32.06981777,152.5433829,Lyne,Greater Taree,Mid North Coast,Inner Regional Australia,25 February 2016
Blackheath,NSW-0160,N/A,New South Wales,2785,-33.63508819,150.2845009,Macquarie,Blue Mountains,Sydney,Inner Regional Australia,25 February 2016
Blakney Creek,NSW-0161,N/A,New South Wales,2581,-34.64424066,149.0311746,Hume,Upper Lachlan Shire,Southern Inland,Inner Regional Australia,25 February 2016
Blandford,NSW-0162,N/A,New South Wales,2338,-31.78789935,150.8964531,Hunter,Upper Hunter Shire,Hunter,Outer Regional Australia,25 February 2016
Blaxlands Creek,NSW-0163,N/A,New South Wales,2460,-29.91333762,152.7855303,Page,Clarence Valley,Northern Rivers,Outer Regional Australia,25 February 2016
Blaxlands Ridge,NSW-0164,N/A,New South Wales,2758,-33.50082632,150.7388678,Macquarie,Hawkesbury,Sydney,Inner Regional Australia,25 February 2016
