Location Name,Identifier,Road Section,State,Post Code,Latitude,Longitude,Electorate,Local Government Area,Regional Development Authority,Remoteness Area,Updated
Arumpo and Petro Mail Roads,NSW-1972,Cnr Arumpo Road and Petro Mail Road,New South Wales,2715,-33.9652,142.695544,Farrer,Wentworth,Murray,Remote Australia,25 February 2016
Athol Glen,NSW-1973,N/A,New South Wales,2450,-30.030968,153.030214,Cowper,Clarence Valley,Northern Rivers,Outer Regional Australia,25 February 2016
Athol Glen Fire Trail,NSW-1974,N/A,New South Wales,2450,-30.043336,153.043064,Cowper,Clarence Valley,Northern Rivers,Outer Regional Australia,25 February 2016
Athol Glen Road ,NSW-1975,N/A,New South Wales,2450,-30.048933,153.047046,Cowper,Clarence Valley,Northern Rivers,Outer Regional Australia,25 February 2016
Auburn Vale,NSW-1976,N/A,New South Wales,2360,-29.836324,151.038712,New England,Inverell,Northern Inland,Outer Regional Australia,25 February 2016
Austinmer,NSW-1977,N/A,New South Wales,2515,-34.301679,150.924748,Cunningham,Wollongong,Illawarra,Major Cities of Australia,25 February 2016
Avondale Road ,NSW-1978,N/A,New South Wales,2867,-32.860812,148.772445,Calare,Cabonne,Central West,Outer Regional Australia,25 February 2016
Awaba,NSW-1979,N/A,New South Wales,2283,-33.012966,151.542841,Charlton,Lake Macquarie,Hunter,Major Cities of Australia,25 February 2016
Babbinboon Road,NSW-1980,N/A,New South Wales,2340,-31.05613,150.554999,New England,Gunnedah,Northern Inland,Outer Regional Australia,25 February 2016
Back Creek ,NSW-1981,N/A,New South Wales,2671,-33.842548,147.403493,Riverina,Bland,Central West,Outer Regional Australia,25 February 2016
Back Creek Road ,NSW-1982,Between Nethercote and Lochiel ,New South Wales,2549,-36.98518,149.808967,Eden-Monaro,Bega Valley,South Coast,Outer Regional Australia,25 February 2016
Back Swamp Road,NSW-1983,N/A,New South Wales,2795,-33.434306,149.447161,Calare,Bathurst Regional,Central West,Inner Regional Australia,25 February 2016
Back Trundle Road,NSW-1984,N/A,New South Wales,2875,-32.94548,147.811442,Calare,Parkes,Central West,Outer Regional Australia,25 February 2016
Back Yamma State Forest,NSW-1985,N/A,New South Wales,2871,-33.338687,148.223435,Calare,Forbes,Central West,Outer Regional Australia,25 February 2016
Backwater,NSW-1986,N/A,New South Wales,2365,-30.067317,151.883905,New England,Guyra,Northern Inland,Outer Regional Australia,25 February 2016
Baerami,NSW-1987,N/A,New South Wales,2333,-32.387433,150.468306,Hunter,Muswellbrook,Hunter,Outer Regional Australia,25 February 2016
Baillies Road,NSW-1988,N/A,New South Wales,2460,-29.563674,152.801531,Page,Clarence Valley,Northern Rivers,Outer Regional Australia,25 February 2016
Balala Retreat,NSW-1989,N/A,New South Wales,2355,-30.617999,151.123262,New England,Tamworth Regional,Northern Inland,Outer Regional Australia,25 February 2016
Balala Road,NSW-1990,N/A,New South Wales,2358,-30.646718,151.33147,New England,Uralla,Northern Inland,Outer Regional Australia,25 February 2016
Bald Ridge,NSW-1991,N/A,New South Wales,2795,-33.936983,149.422719,Calare,Oberon,Central West,Outer Regional Australia,25 February 2016
Baldersleigh Road,NSW-1992,N/A,New South Wales,2365,-30.263833,151.429045,New England,Guyra,Northern Inland,Outer Regional Australia,25 February 2016
Baldry Peak Hill Road,NSW-1993,N/A,New South Wales,2867,-32.843501,148.422744,Calare,Cabonne,Central West,Outer Regional Australia,25 February 2016
Balfours Peak,NSW-1994,N/A,New South Wales,2402,-29.463702,150.773809,Parkes,Gwydir,Northern Inland,Outer Regional Australia,25 February 2016
Balladoran,NSW-1995,N/A,New South Wales,2831,-31.861151,148.652135,Parkes,Gilgandra,Orana,Outer Regional Australia,25 February 2016
Ballalaba,NSW-1996,N/A,New South Wales,2622,-35.631688,149.61503,Eden-Monaro,Palerang,Southern Inland,Outer Regional Australia,25 February 2016
Ballimore Road,NSW-1997,N/A,New South Wales,2818,-32.303485,148.913439,Parkes,Wellington,Orana,Outer Regional Australia,25 February 2016
Balmoral,NSW-1998,N/A,New South Wales,2571,-34.308556,150.520136,Hume,Wingecarribee,Southern Inland,Inner Regional Australia,25 February 2016
Bangalow Road,NSW-1999,Between Clunes and Bangalow,New South Wales,2479,-28.717624,153.439923,Richmond,Byron,Northern Rivers,Inner Regional Australia,25 February 2016
Bango,NSW-2000,N/A,New South Wales,2582,-34.751948,148.954939,Hume,Yass Valley,Southern Inland,Inner Regional Australia,25 February 2016
Bannisters,NSW-2001,N/A,New South Wales,2539,-35.322581,150.485255,Gilmore,Shoalhaven,South Coast,Inner Regional Australia,25 February 2016
Banoon,NSW-2002,N/A,New South Wales,2347,-30.529099,150.420819,New England,Tamworth Regional,Northern Inland,Outer Regional Australia,25 February 2016
Banyabba,NSW-2003,N/A,New South Wales,2469,-29.347633,153.014865,Page,Clarence Valley,Northern Rivers,Outer Regional Australia,25 February 2016
Baradine Road,NSW-2004,Between Baradine Toad and Coonamble Road,New South Wales,2829,-30.943997,148.453349,Parkes,Coonamble,Orana,Remote Australia,25 February 2016
Barbigal ,NSW-2005,N/A,New South Wales,2830,-32.194377,148.818108,Parkes,Dubbo,Orana,Outer Regional Australia,25 February 2016
Baroma Downs Road ,NSW-2006,Between Yallaro and Croppa Creek ,New South Wales,2411,-29.174524,150.368124,Parkes,Gwydir,Northern Inland,Outer Regional Australia,25 February 2016
Barraganyatti,NSW-2007,N/A,New South Wales,2441,-30.873915,152.91694,Cowper,Kempsey,Mid North Coast,Outer Regional Australia,25 February 2016
Barrier Creek Highway ,NSW-2008,Between Broken Hill and Little andpar ,New South Wales,2880,-31.847895,141.931022,Farrer,Unincorporated NSW,Far West,Remote Australia,25 February 2016
Barrier Highway,NSW-2009,Between Wilcannia and Little Topar,New South Wales,2880,-31.681607,142.793767,Farrer,Unincorporated NSW,Far West,Remote Australia,25 February 2016
Batar Creek Road,NSW-2010,N/A,New South Wales,2439,-31.670715,152.671229,Lyne,Port Macquarie-Hastings,Mid North Coast,Inner Regional Australia,25 February 2016
Batlow Tumut Road,NSW-2011,Between Batlow and Tumut,New South Wales,2729,-35.399622,148.123273,Riverina,Tumut Shire,Southern Inland,Outer Regional Australia,25 February 2016
Beaconsfield Road,NSW-2012,N/A,New South Wales,2795,-33.636452,149.714817,Calare,Oberon,Central West,Inner Regional Australia,25 February 2016
Beaumonts Road,NSW-2013,N/A,New South Wales,2453,-30.359455,152.519409,Cowper,Bellingen,Mid North Coast,Outer Regional Australia,25 February 2016
Beechwood Road,NSW-2014,N/A,New South Wales,2446,-31.44515,152.71076,Lyne,Port Macquarie-Hastings,Mid North Coast,Inner Regional Australia,25 February 2016
Beeson Road,NSW-2015,N/A,New South Wales,2380,-31.052116,150.084766,New England,Gunnedah,Northern Inland,Outer Regional Australia,25 February 2016
Belford,NSW-2016,N/A,New South Wales,2335,-32.612661,151.30244,Hunter,Singleton,Hunter,Inner Regional Australia,25 February 2016
Belgravia ,NSW-2017,N/A,New South Wales,2800,-33.10972,149.024448,Calare,Cabonne,Central West,Inner Regional Australia,25 February 2016
Bellbrook,NSW-2018,N/A,New South Wales,2440,-30.818265,152.508406,Cowper,Kempsey,Mid North Coast,Outer Regional Australia,25 February 2016
Bellingen,NSW-2019,N/A,New South Wales,2454,-30.452457,152.896985,Cowper,Bellingen,Mid North Coast,Outer Regional Australia,25 February 2016
Bellingen Road,NSW-2020,N/A,New South Wales,2449,-30.577296,152.860019,Cowper,Nambucca,Mid North Coast,Outer Regional Australia,25 February 2016
Bells Line of Road,NSW-2021,N/A,New South Wales,2758,-33.517154,150.484886,Macquarie,Hawkesbury,Sydney,Inner Regional Australia,25 February 2016
Belmont Road,NSW-2022,N/A,New South Wales,2821,-32.354404,148.000433,Parkes,Narromine,Orana,Outer Regional Australia,25 February 2016
Beloka Hill,NSW-2023,N/A,New South Wales,2628,-36.578229,148.743577,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Belubula Way,NSW-2024,N/A,New South Wales,2792,-33.635406,148.796636,Hume,Cowra,Central West,Outer Regional Australia,25 February 2016
Bemboka,NSW-2025,N/A,New South Wales,2550,-36.627877,149.569886,Eden-Monaro,Bega Valley,South Coast,Outer Regional Australia,25 February 2016
Ben Bullen,NSW-2026,N/A,New South Wales,2790,-33.221406,150.024101,Calare,Lithgow,Central West,Inner Regional Australia,25 February 2016
Ben Nevis Road ,NSW-2027,Between Inn Road and Mount Slow Road ,New South Wales,2365,-29.982778,151.802385,New England,Glen Innes Severn,Northern Inland,Outer Regional Australia,25 February 2016
Bendalong Road,NSW-2028,N/A,New South Wales,2539,-35.233975,150.480094,Gilmore,Shoalhaven,South Coast,Inner Regional Australia,25 February 2016
Bendemeer-Watsons Creek Road,NSW-2029,N/A,New South Wales,2355,-30.803648,151.119439,New England,Tamworth Regional,Northern Inland,Outer Regional Australia,25 February 2016
Beneree Flyers Creek Road,NSW-2030,N/A,New South Wales,2798,-33.496474,149.060144,Calare,Blayney,Central West,Inner Regional Australia,25 February 2016
Benerembah,NSW-2031,N/A,New South Wales,2680,-34.289894,145.905204,Riverina,Griffith,Riverina,Outer Regional Australia,25 February 2016
Benolong Road,NSW-2032,N/A,New South Wales,2830,-32.399839,148.622991,Parkes,Dubbo,Orana,Outer Regional Australia,25 February 2016
Bentley Road,NSW-2033,Between Cedar Point and Tuncester,New South Wales,2480,-28.790528,153.144142,Page,Richmond Valley,Northern Rivers,Inner Regional Australia,25 February 2016
Beranghi Road,NSW-2034,N/A,New South Wales,2440,-31.192657,152.908291,Lyne,Kempsey,Mid North Coast,Inner Regional Australia,25 February 2016
Beresford Road,NSW-2035,N/A,New South Wales,2630,-36.159472,149.320655,Eden-Monaro,Cooma-Monaro,Southern Inland,Outer Regional Australia,25 February 2016
Bergalia,NSW-2036,N/A,New South Wales,2537,-35.982906,150.098597,Eden-Monaro,Eurobodalla,South Coast,Outer Regional Australia,25 February 2016
Berowra Waters,NSW-2037,N/A,New South Wales,2082,-33.600659,151.125606,Berowra,Hornsby,Sydney,Major Cities of Australia,25 February 2016
Berrigan Road,NSW-2038,Between Barooga and Berrigan,New South Wales,2712,-35.761126,145.768572,Farrer,Berrigan,Murray,Outer Regional Australia,25 February 2016
Bertoli Road,NSW-2039,N/A,New South Wales,2480,-28.699013,153.170383,Richmond,Lismore,Northern Rivers,Inner Regional Australia,25 February 2016
Betric Road,NSW-2040,N/A,New South Wales,2666,-34.567232,147.335504,Riverina,Temora,Riverina,Outer Regional Australia,25 February 2016
Betric Road Rannock,NSW-2041,N/A,New South Wales,2701,-34.563679,147.28811,Riverina,Coolamon,Riverina,Outer Regional Australia,25 February 2016
Bice Road,NSW-2042,N/A,New South Wales,2480,-28.766637,153.17335,Richmond,Lismore,Northern Rivers,Inner Regional Australia,25 February 2016
Bidgeemia,NSW-2043,N/A,New South Wales,2642,-35.45393,146.522151,Farrer,Lockhart,Riverina,Outer Regional Australia,25 February 2016
Bigga Road,NSW-2044,N/A,New South Wales,2583,-34.124882,149.194087,Hume,Upper Lachlan Shire,Southern Inland,Outer Regional Australia,25 February 2016
Billilingra Road ,NSW-2045,Between Billilingra and Murrumbucca ,New South Wales,2630,-36.047103,149.084484,Eden-Monaro,Cooma-Monaro,Southern Inland,Inner Regional Australia,25 February 2016
Billywillinga Road,NSW-2046,N/A,New South Wales,2795,-33.29744,149.439326,Calare,Bathurst Regional,Central West,Inner Regional Australia,25 February 2016
Bilybyang Creek Road,NSW-2047,N/A,New South Wales,2440,-30.832601,152.649919,Cowper,Kempsey,Mid North Coast,Outer Regional Australia,25 February 2016
Bimbadeen Road,NSW-2048,N/A,New South Wales,2330,-32.56007,151.420448,Hunter,Singleton,Hunter,Inner Regional Australia,25 February 2016
Binda-Limerick Road,NSW-2049,N/A,New South Wales,2583,-34.258235,149.437454,Hume,Upper Lachlan Shire,Southern Inland,Outer Regional Australia,25 February 2016
Binda-Peelwood Road,NSW-2050,N/A,New South Wales,2583,-34.167285,149.406665,Hume,Upper Lachlan Shire,Southern Inland,Outer Regional Australia,25 February 2016
Bindogundra,NSW-2051,N/A,New South Wales,2870,-33.124627,148.306048,Calare,Parkes,Central West,Outer Regional Australia,25 February 2016
Binnaway,NSW-2052,N/A,New South Wales,2395,-31.551877,149.378739,Parkes,Warrumbungle Shire,Orana,Outer Regional Australia,25 February 2016
Birdwood,NSW-2053,N/A,New South Wales,2446,-31.339294,152.341392,Lyne,Port Macquarie-Hastings,Mid North Coast,Outer Regional Australia,25 February 2016
Birganbigil,NSW-2054,N/A,New South Wales,2852,-32.398021,149.395244,Parkes,Mid-Western Regional,Orana,Outer Regional Australia,25 February 2016
Black Springs Road,NSW-2055,Between Frog Rock Road and Schools Lane,New South Wales,2850,-32.482487,149.654239,Parkes,Mid-Western Regional,Orana,Outer Regional Australia,25 February 2016
Black Stump Way ,NSW-2056,N/A,New South Wales,2843,-31.898654,149.687705,Parkes,Warrumbungle Shire,Orana,Outer Regional Australia,25 February 2016
Blackbrook,NSW-2057,N/A,New South Wales,2480,-28.764611,153.240121,Page,Lismore,Northern Rivers,Inner Regional Australia,25 February 2016
Blackheath Creek Road,NSW-2058,N/A,New South Wales,2790,-33.624832,150.246484,Calare,Lithgow,Central West,Inner Regional Australia,25 February 2016
Blackville,NSW-2059,N/A,New South Wales,2343,-31.640814,150.235602,New England,Liverpool Plains,Northern Inland,Outer Regional Australia,25 February 2016
Blackwell Road,NSW-2060,N/A,New South Wales,2480,-28.666294,153.272342,Richmond,Lismore,Northern Rivers,Inner Regional Australia,25 February 2016
Blakney Creek South Road,NSW-2061,Between Cooks Hill Road and Dalton,New South Wales,2582,-34.723187,148.988098,Hume,Yass Valley,Southern Inland,Inner Regional Australia,25 February 2016
Bland,NSW-2062,N/A,New South Wales,2721,-34.028928,147.639374,Riverina,Bland,Central West,Outer Regional Australia,25 February 2016
Bland Creek,NSW-2063,N/A,New South Wales,2671,-33.781663,147.522931,Riverina,Bland,Central West,Outer Regional Australia,25 February 2016
Bloodwood Road,NSW-2064,N/A,New South Wales,2471,-29.04372,153.216317,Page,Richmond Valley,Northern Rivers,Inner Regional Australia,25 February 2016
Blue Nobby Road,NSW-2065,N/A,New South Wales,2350,-30.726473,151.795895,New England,Armidale Dumaresq,Northern Inland,Outer Regional Australia,25 February 2016
Blue Spring Road ,NSW-2066,N/A,New South Wales,2852,-32.300052,149.605219,Parkes,Mid-Western Regional,Orana,Outer Regional Australia,25 February 2016
Boat Harbour Road,NSW-2067,Between Williams Hill Road and Taylors Arm,New South Wales,2447,-30.751441,152.762869,Cowper,Nambucca,Mid North Coast,Outer Regional Australia,25 February 2016
Boat Harbour Road ,NSW-2068,Between Thumb Creek and Macksville ,New South Wales,2447,-30.718411,152.796251,Cowper,Nambucca,Mid North Coast,Outer Regional Australia,25 February 2016
Bobs Creek Road,NSW-2069,N/A,New South Wales,2650,-35.579916,147.755227,Farrer,Greater Hume Shire,Murray,Outer Regional Australia,25 February 2016
Bobs Range Road,NSW-2070,N/A,New South Wales,2570,-34.022379,150.605639,Hume,Wollondilly,Sydney,Inner Regional Australia,25 February 2016
Bocoble ,NSW-2071,N/A,New South Wales,2850,-32.790919,149.718212,Parkes,Mid-Western Regional,Orana,Outer Regional Australia,25 February 2016
Bocobra,NSW-2072,N/A,New South Wales,2865,-33.086768,148.537795,Calare,Cabonne,Central West,Outer Regional Australia,25 February 2016
Bogamildi-Crooble Road,NSW-2073,N/A,New South Wales,2400,-29.222953,150.15327,Parkes,Moree Plains,Northern Inland,Outer Regional Australia,25 February 2016
Bogan Gate,NSW-2074,N/A,New South Wales,2876,-33.107835,147.80339,Calare,Parkes,Central West,Outer Regional Australia,25 February 2016
Boggy Creek Road,NSW-2075,Between Hospital Range Road andWaterfall Way,New South Wales,2454,-30.446654,152.795873,Cowper,Bellingen,Mid North Coast,Outer Regional Australia,25 February 2016
Bollerang Road,NSW-2076,N/A,New South Wales,2540,-35.076013,150.495986,Gilmore,Shoalhaven,South Coast,Inner Regional Australia,25 February 2016
Bombala - Delegate Road,NSW-2077,N/A,New South Wales,2632,-36.967009,149.107197,Eden-Monaro,Bombala,Southern Inland,Outer Regional Australia,25 February 2016
Bombowlee Creek Road,NSW-2078,N/A,New South Wales,2720,-35.26843,148.323458,Riverina,Tumut Shire,Southern Inland,Inner Regional Australia,25 February 2016
Bomera,NSW-2079,N/A,New South Wales,2357,-31.504434,149.778937,Parkes,Warrumbungle Shire,Orana,Outer Regional Australia,25 February 2016
Bong Bong Road,NSW-2080,N/A,New South Wales,2843,-31.940515,149.611767,Parkes,Warrumbungle Shire,Orana,Outer Regional Australia,25 February 2016
Bonnay-Linton Road,NSW-2081,N/A,New South Wales,2359,-30.238929,150.925999,New England,Tamworth Regional,Northern Inland,Outer Regional Australia,25 February 2016
Bonnay-Linton Road,NSW-2082,N/A,New South Wales,2347,-30.404116,150.877001,New England,Tamworth Regional,Northern Inland,Outer Regional Australia,25 February 2016
Bonville,NSW-2083,N/A,New South Wales,2441,-30.375195,153.035611,Cowper,Coffs Harbour,Mid North Coast,Inner Regional Australia,25 February 2016
Booloocooroo Road,NSW-2084,N/A,New South Wales,2380,-31.0457,150.240522,New England,Gunnedah,Northern Inland,Outer Regional Australia,25 February 2016
Boomanoomana ,NSW-2085,N/A,New South Wales,2712,-35.966689,145.843153,Farrer,Berrigan,Murray,Outer Regional Australia,25 February 2016
Boomi Road,NSW-2086,N/A,New South Wales,2405,-29.072184,149.631767,Parkes,Moree Plains,Northern Inland,Remote Australia,25 February 2016
Boomi-Bywanna Road ,NSW-2087,Between Boomi and Goondiwindi ,New South Wales,2405,-28.711282,149.683468,Parkes,Moree Plains,Northern Inland,Remote Australia,25 February 2016
Boonderoo Road,NSW-2088,N/A,New South Wales,2792,-33.627792,148.914431,Calare,Blayney,Central West,Outer Regional Australia,25 February 2016
